theta time Kinect_theta
-10 38.7403 -0.333893
-10 38.7916 -0.332497
-10 38.843 -0.333757
-10 38.8947 -0.334017
-10 38.9496 -0.335556
-10 39.0005 -0.334855
-10 39.0567 -0.335548
-10 39.1179 -0.333972
-10 39.1782 -0.332542
-10 39.2389 -0.328024
-10 39.3007 -0.33528
-10 39.3583 -0.334267
-10 39.4205 -0.334124
-10 39.4734 -0.333847
-10 39.5257 -0.332833
-10 39.5759 -0.332905
-10 39.6275 -0.333919
-10 39.6796 -0.337774
-10 39.7303 -0.330906
-10 39.7822 -0.334004
-10 39.8345 -0.334812
-10 39.8873 -0.337818
-10 39.9381 -0.33505
-10 39.9953 -0.338
-10 40.0469 -0.333796
-10 40.0997 -0.334133
-10 40.1514 -0.331284
-10 40.2038 -0.334525
-10 40.2562 -0.332567
-10 40.3088 -0.332202
-10 40.3604 -0.331353
-10 40.4121 -0.334146
-10 40.4635 -0.331229
-10 40.518 -0.334602
-10 40.5702 -0.333631
-10 40.6272 -0.334596
-10 40.6878 -0.335218
-10 40.7401 -0.336896
-10 40.7952 -0.337878
-10 40.8465 -0.333658
-10 40.8982 -0.33344
-10 40.9505 -0.336798
-10 41.0027 -0.333102
-10 41.0541 -0.331582
-10 41.107 -0.334399
-10 41.159 -0.332289
-10 41.2115 -0.333776
-10 41.2635 -0.334025
-10 41.3149 -0.337388
-10 41.3678 -0.33688
-10 41.4193 -0.3358
-10 41.4709 -0.33062
-10 41.522 -0.333367
-10 41.5731 -0.33295
-10 41.6265 -0.333685
-10 41.6792 -0.331594
-10 41.732 -0.336131
-10 41.7843 -0.33523
-10 41.8359 -0.339458
-10 41.8894 -0.33448
-10 41.9429 -0.332809
-10 41.9976 -0.334608
-10 42.049 -0.331857
-10 42.101 -0.331402
-10 42.1534 -0.333818
-10 42.2051 -0.33642
-10 42.2576 -0.334329
-10 42.3085 -0.335371
-10 42.36 -0.33407
-10 42.4124 -0.334866
-10 42.4654 -0.33478
-10 42.5265 -0.33709
-10 42.5871 -0.336675
-10 42.6473 -0.337449
-10 42.6981 -0.332305
-10 42.7507 -0.337391
-10 42.801 -0.335552
-10 42.8515 -0.332269
-10 42.9022 -0.334251
-10 42.9659 -0.337525
-10 43.0274 -0.334449
-10 43.0882 -0.330523
-10 43.1492 -0.336726
-10 43.1996 -0.338426
-10 43.2497 -0.339111
-10 43.3003 -0.338444
-10 43.3505 -0.33462
-10 43.4011 -0.336538
-10 43.4517 -0.336873
-10 43.5015 -0.335076
-10 43.5522 -0.332893
-10 43.6024 -0.337394
-10 43.6526 -0.335409
-10 43.7062 -0.335993
-10 43.7592 -0.333286
-10 43.8098 -0.333805
-10 43.8617 -0.336174
-10 43.9116 -0.332748
-10 43.9618 -0.330928
-10 44.0128 -0.336529
-10 44.0638 -0.3356
-10 44.1144 -0.331142
-10 44.165 -0.337159
-10 44.2157 -0.332658
-10 44.2663 -0.329582
-10 44.3168 -0.330992
-10 44.3679 -0.336551
-10 44.4219 -0.332164
-10 44.4753 -0.33582
-10 44.5272 -0.335458
-10 44.5797 -0.336383
-10 44.6316 -0.337232
-10 44.6833 -0.338015
-10 44.7364 -0.337462
-2 0 -0.14879
-2 0.0532298 -0.148079
-2 0.106555 -0.149394
-2 0.159783 -0.148396
-2 0.212748 -0.149115
-2 0.266084 -0.149073
-2 0.320052 -0.149727
-2 0.373408 -0.148227
-2 0.426338 -0.150202
-2 0.479048 -0.149855
-2 0.5329 -0.150846
-2 0.586373 -0.152317
-2 0.639379 -0.154776
-2 0.69329 -0.154292
-2 0.746057 -0.153917
-2 0.799615 -0.154196
-2 0.852901 -0.151243
-2 0.906003 -0.151762
-2 0.959316 -0.151405
-2 1.01135 -0.154498
-2 1.0651 -0.155137
-2 1.12084 -0.152542
-2 1.17441 -0.149774
-2 1.22752 -0.151235
-2 1.28036 -0.150349
-2 1.33364 -0.153345
-2 1.38785 -0.15244
-2 1.44123 -0.15512
-2 1.49443 -0.151805
-2 1.5478 -0.152359
-2 1.60075 -0.151275
-2 1.65331 -0.151519
-2 1.70667 -0.151772
-2 1.76026 -0.153994
-2 1.8136 -0.154795
-2 1.86765 -0.15182
-2 1.9207 -0.151042
-2 1.97399 -0.152781
-2 2.02751 -0.153105
-2 2.08148 -0.153748
-2 2.13478 -0.152856
-2 2.18794 -0.15374
-2 2.24024 -0.151259
-2 2.29344 -0.152937
-2 2.34684 -0.153638
-2 2.40003 -0.154464
-2 2.4527 -0.151511
-2 2.50732 -0.152452
-2 2.56045 -0.152612
-2 2.61432 -0.151243
-2 2.66764 -0.150109
-2 2.72275 -0.153473
-2 2.77607 -0.155293
-2 2.8293 -0.151114
-2 2.8811 -0.150907
-2 2.93426 -0.152781
-2 2.98699 -0.150324
-2 3.04035 -0.148619
-2 3.09332 -0.148001
-2 3.14689 -0.148506
-2 3.19977 -0.150312
-2 3.25204 -0.149763
-2 3.30634 -0.151222
-2 3.35993 -0.149167
-2 3.41314 -0.14697
-2 3.46698 -0.14915
-2 3.52085 -0.150184
-2 3.57389 -0.151477
-2 3.62959 -0.151256
-2 3.6817 -0.150555
-2 3.7347 -0.149736
-2 3.78755 -0.148352
-2 3.84105 -0.147044
-2 3.89653 -0.150166
-2 3.94971 -0.152326
-2 4.00265 -0.150606
-2 4.05562 -0.14902
-2 4.11051 -0.148938
-2 4.16431 -0.150155
-2 4.21761 -0.149953
-2 4.27028 -0.153076
-2 4.32319 -0.151695
-2 4.37614 -0.15442
-2 4.42894 -0.149005
-2 4.48189 -0.149572
-2 4.53546 -0.149688
-2 4.58909 -0.150167
-2 4.64301 -0.152785
-2 4.69694 -0.150823
-2 4.74934 -0.15358
-2 4.80238 -0.149338
-2 4.85519 -0.148185
-2 4.90827 -0.148258
-2 4.96208 -0.152126
-2 5.01968 -0.152021
-2 5.08249 -0.151412
-2 5.1453 -0.15029
-2 5.20714 -0.149252
-2 5.26913 -0.148285
-2 5.33384 -0.152531
-2 5.39661 -0.151928
-2 5.45925 -0.153556
-2 5.52206 -0.151131
-2 5.57576 -0.149238
-2 5.62974 -0.150059
-2 5.68376 -0.151198
-2 5.74074 -0.149634
-2 5.80231 -0.152847
-2 5.86569 -0.150254
-2 5.92802 -0.150657
-2 5.99289 -0.14904
-2 6.05538 -0.152704
-2 6.11808 -0.151014
-2 6.18199 -0.153998
-2 6.24457 -0.149631
-2 6.30706 -0.149523
-2 6.3695 -0.15036
-2 6.43189 -0.153254
-2 6.48866 -0.15108
-2 6.54311 -0.150964
-2 6.59959 -0.150342
-2 6.65316 -0.150583
-2 6.70598 -0.153457
-2 6.76052 -0.153565
-2 6.81361 -0.151525
-2 6.86687 -0.150428
-2 6.92047 -0.150505
-2 6.97376 -0.150199
-2 7.02742 -0.152152
-2 7.08165 -0.150383
-2 7.13577 -0.152633
-2 7.1897 -0.153789
-2 7.2429 -0.150781
-2 7.29768 -0.147974
-2 7.35134 -0.150346
-2 7.40634 -0.150887
-2 7.45998 -0.151146
-2 7.51369 -0.150009
-2 7.56677 -0.151547
-2 7.6202 -0.149965
-2 7.67329 -0.150159
-2 7.72623 -0.149634
-2 7.77972 -0.152656
-2 7.83307 -0.152139
-2 7.88669 -0.152473
-2 7.94013 -0.149831
-2 7.99317 -0.151084
-2 8.04784 -0.151093
-2 8.10098 -0.152724
-2 8.15561 -0.150301
-2 8.21118 -0.150588
-2 8.26507 -0.15134
-2 8.31797 -0.149875
-2 8.37363 -0.149457
-2 8.42687 -0.153181
-2 8.48072 -0.154126
-2 8.53477 -0.15188
-2 8.58756 -0.154095
-2 8.64134 -0.150392
-2 8.69401 -0.14864
-2 8.74715 -0.150437
-2 8.80191 -0.152725
-2 8.85577 -0.149601
-2 8.91012 -0.153735
-2 8.96449 -0.150023
-2 9.01768 -0.151151
-2 9.0713 -0.150863
-2 9.12395 -0.150422
-2 9.17579 -0.153156
-2 9.22835 -0.151465
-2 9.2809 -0.153459
-2 9.33296 -0.151742
-2 9.3852 -0.150016
-2 9.43703 -0.151892
-2 9.48882 -0.15327
-2 9.54262 -0.151783
-2 9.59717 -0.150214
-2 9.65111 -0.154234
-2 9.70435 -0.150493
-2 9.75815 -0.150915
-2 9.81143 -0.152544
-2 9.86517 -0.15326
-2 9.91923 -0.151469
-2 9.97224 -0.153069
